TIME_M,EVENT
1706778900.000000,1.000000
1706778909.000000,1.000000
1706778936.000000,1.000000
1706778945.000000,1.000000
1706778954.000000,1.000000
1706778963.000000,1.000000
1706778972.000000,1.000000
1706779008.000000,1.000000
1706779026.000000,1.000000
1706779035.000000,1.000000
1706779053.000000,1.000000
1706779062.000000,1.000000
1706779080.000000,1.000000
1706779089.000000,1.000000
1706779098.000000,1.000000
1706779107.000000,1.000000
1706779116.000000,1.000000
1706779125.000000,1.000000
1706779134.000000,1.000000
1706779143.000000,1.000000
1706779152.000000,1.000000
1706779170.000000,1.000000
1706779179.000000,1.000000
1706779200.000000,1.000000
1706779209.000000,1.000000
1706779218.000000,1.000000
1706779227.000000,1.000000
1706779236.000000,1.000000
1706779245.000000,1.000000
1706779254.000000,1.000000
1706779263.000000,1.000000
1706779272.000000,1.000000
1706779281.000000,1.000000
1706779290.000000,1.000000
1706779299.000000,1.000000
1706779308.000000,1.000000
1706779317.000000,1.000000
1706779326.000000,1.000000
1706779335.000000,1.000000
1706779344.000000,1.000000
1706779353.000000,1.000000
1706779362.000000,1.000000
1706779371.000000,1.000000
1706779380.000000,1.000000
1706779389.000000,1.000000
1706779398.000000,1.000000
1706779407.000000,1.000000
1706779416.000000,1.000000
1706779425.000000,1.000000
1706779434.000000,1.000000
1706779443.000000,1.000000
1706779452.000000,1.000000
1706779461.000000,1.000000
1706779470.000000,1.000000
1706779479.000000,1.000000
1706779488.000000,1.000000
1706779497.000000,1.000000
1706779500.000000,2.000000
1706779593.000000,1.000000
1706779653.000000,1.000000
1706779713.000000,1.000000
1706779773.000000,1.000000
1706779800.000000,2.000000
1706779803.000000,3.000000
1706779806.000000,2.000000
1706779809.000000,3.000000
1706779812.000000,2.000000
1706779815.000000,2.000000
1706779818.000000,2.000000
1706779821.000000,2.000000
1706779824.000000,2.000000
1706779827.000000,3.000000
1706779830.000000,2.000000
1706779833.000000,3.000000
1706779836.000000,3.000000
1706779839.000000,2.000000
1706779842.000000,2.000000
1706779845.000000,3.000000
1706779848.000000,3.000000
1706779851.000000,3.000000
1706779854.000000,3.000000
1706779857.000000,3.000000
1706779860.000000,2.000000
1706779863.000000,3.000000
1706779866.000000,2.000000
1706779869.000000,3.000000
1706779872.000000,3.000000
1706779875.000000,1.000000
1706779878.000000,3.000000
1706779881.000000,3.000000
1706779884.000000,3.000000
1706779887.000000,3.000000
1706779890.000000,2.000000
1706779893.000000,2.000000
1706779896.000000,3.000000
1706779899.000000,3.000000
1706779902.000000,3.000000
1706779905.000000,2.000000
1706779908.000000,2.000000
1706779911.000000,2.000000
1706779914.000000,3.000000
1706779917.000000,3.000000
1706779920.000000,3.000000
1706779923.000000,3.000000
1706779926.000000,3.000000
1706779929.000000,3.000000
1706779932.000000,3.000000
1706779935.000000,2.000000
1706779938.000000,2.000000
1706779941.000000,2.000000
1706779944.000000,2.000000
1706779947.000000,3.000000
1706779950.000000,3.000000
1706779953.000000,3.000000
1706779956.000000,3.000000
1706779959.000000,3.000000
1706779962.000000,3.000000
1706779965.000000,2.000000
1706779968.000000,2.000000
1706779971.000000,2.000000
1706779974.000000,2.000000
1706779977.000000,3.000000
1706779980.000000,2.000000
1706779983.000000,3.000000
1706779986.000000,2.000000
1706779989.000000,2.000000
1706779992.000000,3.000000
1706779995.000000,3.000000
1706779998.000000,2.000000
1706780001.000000,2.000000
1706780004.000000,3.000000
1706780007.000000,2.000000
1706780010.000000,3.000000
1706780013.000000,2.000000
1706780016.000000,2.000000
1706780019.000000,2.000000
1706780022.000000,2.000000
1706780025.000000,2.000000
1706780028.000000,3.000000
1706780031.000000,3.000000
1706780034.000000,2.000000
1706780037.000000,2.000000
1706780040.000000,2.000000
1706780043.000000,3.000000
1706780046.000000,2.000000
1706780049.000000,3.000000
1706780052.000000,3.000000
1706780055.000000,3.000000
1706780058.000000,3.000000
1706780061.000000,3.000000
1706780064.000000,3.000000
1706780067.000000,3.000000
1706780070.000000,3.000000
1706780073.000000,3.000000
1706780076.000000,3.000000
1706780079.000000,3.000000
1706780082.000000,2.000000
1706780085.000000,2.000000
1706780088.000000,3.000000
1706780091.000000,3.000000
1706780094.000000,2.000000
1706780097.000000,3.000000
1706780100.000000,3.000000
1706780103.000000,2.000000
1706780106.000000,3.000000
1706780109.000000,3.000000
1706780112.000000,3.000000
1706780115.000000,3.000000
1706780118.000000,3.000000
1706780121.000000,3.000000
1706780124.000000,2.000000
1706780127.000000,2.000000
1706780130.000000,2.000000
1706780133.000000,2.000000
1706780136.000000,3.000000
1706780139.000000,2.000000
1706780142.000000,2.000000
1706780145.000000,3.000000
1706780148.000000,3.000000
1706780151.000000,3.000000
1706780154.000000,2.000000
1706780157.000000,2.000000
1706780160.000000,2.000000
1706780163.000000,3.000000
1706780166.000000,3.000000
1706780169.000000,2.000000
1706780172.000000,2.000000
1706780175.000000,3.000000
1706780178.000000,2.000000
1706780181.000000,3.000000
1706780184.000000,3.000000
1706780187.000000,2.000000
1706780190.000000,3.000000
1706780193.000000,3.000000
1706780196.000000,3.000000
1706780199.000000,2.000000
1706780202.000000,3.000000
1706780205.000000,2.000000
1706780208.000000,2.000000
1706780211.000000,3.000000
1706780214.000000,3.000000
1706780217.000000,3.000000
1706780220.000000,3.000000
1706780223.000000,2.000000
1706780226.000000,2.000000
1706780229.000000,3.000000
1706780232.000000,3.000000
1706780235.000000,3.000000
1706780238.000000,3.000000
1706780241.000000,3.000000
1706780244.000000,2.000000
1706780247.000000,2.000000
1706780250.000000,3.000000
1706780253.000000,3.000000
1706780256.000000,2.000000
1706780259.000000,3.000000
1706780262.000000,3.000000
1706780265.000000,3.000000
1706780268.000000,2.000000
1706780271.000000,2.000000
1706780274.000000,3.000000
1706780277.000000,3.000000
1706780280.000000,3.000000
1706780283.000000,2.000000
1706780286.000000,2.000000
1706780289.000000,3.000000
1706780292.000000,2.000000
1706780295.000000,2.000000
1706780298.000000,3.000000
1706780301.000000,3.000000
1706780304.000000,3.000000
1706780307.000000,3.000000
1706780310.000000,3.000000
1706780313.000000,3.000000
1706780316.000000,3.000000
1706780319.000000,2.000000
1706780322.000000,3.000000
1706780325.000000,3.000000
1706780328.000000,2.000000
1706780331.000000,3.000000
1706780334.000000,2.000000
1706780337.000000,3.000000
1706780340.000000,2.000000
1706780343.000000,3.000000
1706780346.000000,3.000000
1706780349.000000,3.000000
1706780352.000000,3.000000
1706780355.000000,3.000000
1706780358.000000,3.000000
1706780361.000000,2.000000
1706780364.000000,3.000000
1706780367.000000,3.000000
1706780370.000000,3.000000
1706780373.000000,3.000000
1706780376.000000,3.000000
1706780379.000000,3.000000
1706780382.000000,2.000000
1706780385.000000,2.000000
1706780388.000000,2.000000
1706780391.000000,2.000000
1706780394.000000,3.000000
1706780397.000000,3.000000
1706780400.000000,2.000000
1706780403.000000,2.000000
1706780406.000000,3.000000
1706780409.000000,2.000000
1706780412.000000,3.000000
1706780415.000000,3.000000
1706780418.000000,3.000000
1706780421.000000,3.000000
1706780424.000000,3.000000
1706780427.000000,2.000000
1706780430.000000,2.000000
1706780433.000000,3.000000
1706780436.000000,2.000000
1706780439.000000,2.000000
1706780442.000000,3.000000
1706780445.000000,2.000000
1706780448.000000,2.000000
1706780451.000000,2.000000
1706780454.000000,2.000000
1706780457.000000,2.000000
1706780460.000000,2.000000
1706780463.000000,3.000000
1706780466.000000,2.000000
1706780469.000000,3.000000
1706780472.000000,2.000000
1706780475.000000,3.000000
1706780478.000000,3.000000
1706780481.000000,3.000000
1706780484.000000,2.000000
1706780487.000000,3.000000
1706780490.000000,2.000000
1706780493.000000,3.000000
1706780496.000000,3.000000
1706780499.000000,3.000000
1706780502.000000,2.000000
1706780505.000000,3.000000
1706780508.000000,3.000000
1706780511.000000,3.000000
1706780514.000000,3.000000
1706780517.000000,3.000000
1706780520.000000,3.000000
1706780523.000000,3.000000
1706780526.000000,3.000000
1706780529.000000,2.000000
1706780532.000000,3.000000
1706780535.000000,2.000000
1706780538.000000,3.000000
1706780541.000000,3.000000
1706780544.000000,3.000000
1706780547.000000,3.000000
1706780550.000000,2.000000
1706780553.000000,3.000000
1706780556.000000,3.000000
1706780559.000000,2.000000
1706780562.000000,3.000000
1706780565.000000,2.000000
1706780568.000000,3.000000
1706780571.000000,3.000000
1706780574.000000,3.000000
1706780577.000000,3.000000
1706780580.000000,2.000000
1706780583.000000,2.000000
1706780586.000000,2.000000
1706780589.000000,2.000000
1706780592.000000,2.000000
1706780595.000000,3.000000
1706780598.000000,3.000000
1706780601.000000,2.000000
1706780604.000000,3.000000
1706780607.000000,2.000000
1706780610.000000,2.000000
1706780613.000000,3.000000
1706780616.000000,2.000000
1706780619.000000,3.000000
1706780622.000000,2.000000
1706780625.000000,3.000000
1706780628.000000,3.000000
1706780631.000000,3.000000
1706780634.000000,3.000000
1706780637.000000,3.000000
1706780640.000000,3.000000
1706780643.000000,3.000000
1706780646.000000,3.000000
1706780649.000000,2.000000
1706780652.000000,3.000000
1706780655.000000,3.000000
1706780658.000000,2.000000
1706780661.000000,2.000000
1706780664.000000,3.000000
1706780667.000000,3.000000
1706780670.000000,3.000000
1706780673.000000,2.000000
1706780676.000000,2.000000
1706780679.000000,2.000000
1706780682.000000,3.000000
1706780685.000000,2.000000
1706780688.000000,2.000000
1706780691.000000,2.000000
1706780694.000000,3.000000
1706780697.000000,2.000000
1706780700.000000,2.000000
1706780703.000000,2.000000
1706780706.000000,3.000000
1706780709.000000,3.000000
1706780712.000000,3.000000
1706780715.000000,2.000000
1706780718.000000,1.000000
1706780721.000000,3.000000
1706780724.000000,3.000000
1706782518.000000,2.000000
1706782521.000000,2.000000
1706782524.000000,2.000000
1706782527.000000,2.000000
1706782530.000000,3.000000
1706782533.000000,3.000000
1706782536.000000,3.000000
1706782539.000000,3.000000
1706782542.000000,3.000000
1706782545.000000,3.000000
1706782548.000000,2.000000
1706782551.000000,2.000000
1706782554.000000,2.000000
1706782557.000000,3.000000
1706782560.000000,2.000000
1706782563.000000,3.000000
1706782566.000000,3.000000
1706782569.000000,2.000000
1706782572.000000,3.000000
1706782575.000000,2.000000
1706782578.000000,2.000000
1706782581.000000,2.000000
1706782584.000000,3.000000
1706782587.000000,2.000000
1706782590.000000,3.000000
1706782593.000000,3.000000
1706782596.000000,3.000000
1706782599.000000,3.000000
1706782602.000000,3.000000
1706782605.000000,3.000000
1706782608.000000,3.000000
1706782611.000000,3.000000
1706782614.000000,1.000000
1706782617.000000,2.000000
1706782620.000000,2.000000
1706782623.000000,2.000000
1706782626.000000,3.000000
1706782629.000000,2.000000
1706782632.000000,2.000000
1706782635.000000,3.000000
1706782638.000000,2.000000
1706782641.000000,3.000000
1706782644.000000,2.000000
1706782647.000000,2.000000
1706782650.000000,2.000000
1706782653.000000,3.000000
1706782656.000000,3.000000
1706782659.000000,2.000000
1706782662.000000,3.000000
1706782665.000000,3.000000
1706782668.000000,1.000000
1706782671.000000,3.000000
1706782674.000000,2.000000
1706782677.000000,2.000000
1706782680.000000,2.000000
1706782683.000000,3.000000
1706782686.000000,2.000000
1706782689.000000,2.000000
1706782692.000000,2.000000
1706782695.000000,3.000000
1706782698.000000,2.000000
1706782701.000000,3.000000
1706782704.000000,2.000000
1706782707.000000,3.000000
1706782710.000000,2.000000
1706782713.000000,3.000000
1706782716.000000,2.000000
1706782719.000000,3.000000
1706782722.000000,2.000000
1706782725.000000,2.000000
1706782728.000000,2.000000
1706782731.000000,2.000000
1706782734.000000,2.000000
1706782737.000000,2.000000
1706782740.000000,3.000000
1706782743.000000,2.000000
1706782746.000000,2.000000
1706782749.000000,2.000000
1706782752.000000,2.000000
1706782755.000000,3.000000
1706782758.000000,2.000000
1706782761.000000,2.000000
