TIME_M,EVENT
1706778840.800000,1.000000
1706778900.800000,1.000000
1706778903.830000,1.000000
1706778906.800000,1.000000
1706778909.850000,1.000000
1706778912.800000,1.000000
1706778915.800000,1.000000
1706778918.800000,1.000000
1706778921.810000,1.000000
1706778924.800000,1.000000
1706778927.850000,1.000000
1706778930.830000,1.000000
1706778933.800000,1.000000
1706778936.820000,1.000000
1706778942.800000,1.000000
1706778945.800000,1.000000
1706778948.810000,1.000000
1706778951.800000,1.000000
1706778954.810000,1.000000
1706778957.800000,1.000000
1706778960.820000,1.000000
1706778963.810000,1.000000
1706778966.800000,1.000000
1706778969.810000,1.000000
1706778975.800000,1.000000
1706778978.810000,1.000000
1706778981.800000,1.000000
1706778984.810000,1.000000
1706778987.800000,1.000000
1706778990.850000,1.000000
1706778993.850000,1.000000
1706778996.810000,1.000000
1706778999.810000,1.000000
1706779002.800000,1.000000
1706779005.800000,1.000000
1706779008.800000,1.000000
1706779011.800000,1.000000
1706779014.800000,1.000000
1706779017.800000,1.000000
1706779020.800000,1.000000
1706779023.810000,1.000000
1706779026.840000,1.000000
1706779029.800000,1.000000
1706779032.810000,1.000000
1706779035.800000,1.000000
1706779038.800000,1.000000
1706779041.880000,1.000000
1706779044.810000,1.000000
1706779047.800000,1.000000
1706779050.800000,1.000000
1706779053.800000,1.000000
1706779056.800000,1.000000
1706779059.800000,1.000000
1706779062.800000,1.000000
1706779065.810000,1.000000
1706779068.800000,1.000000
1706779071.810000,1.000000
1706779074.800000,1.000000
1706779077.820000,1.000000
1706779080.800000,1.000000
1706779083.810000,1.000000
1706779086.800000,1.000000
1706779089.830000,1.000000
1706779092.800000,1.000000
1706779095.800000,1.000000
1706779098.810000,1.000000
1706779101.800000,1.000000
1706779104.810000,1.000000
1706779107.860000,1.000000
1706779110.800000,1.000000
1706779113.800000,1.000000
1706779116.800000,1.000000
1706779119.830000,1.000000
1706779122.800000,1.000000
1706779125.800000,1.000000
1706779128.800000,1.000000
1706779131.800000,1.000000
1706779134.800000,1.000000
1706779137.800000,1.000000
1706779140.800000,1.000000
1706779143.820000,1.000000
1706779146.810000,1.000000
1706779149.800000,1.000000
1706779152.800000,1.000000
1706779155.810000,1.000000
1706779158.810000,1.000000
1706779161.810000,1.000000
1706779164.800000,1.000000
1706779167.810000,1.000000
1706779170.800000,1.000000
1706779173.800000,1.000000
1706779176.800000,1.000000
1706779179.800000,1.000000
1706779182.830000,1.000000
1706779185.870000,1.000000
1706779188.830000,1.000000
1706779191.800000,1.000000
1706779194.810000,1.000000
1706779197.800000,1.000000
1706779200.810000,1.000000
1706779203.830000,1.000000
1706779206.800000,1.000000
